iter	Passed	Remaining
155	2307	12486
156	2319	12456
157	2330	12419
158	2343	12393
159	2354	12361
160	2366	12334
161	2376	12295
162	2388	12266
163	2401	12240
164	2411	12203
165	2422	12172
166	2434	12142
167	2445	12109
168	2463	12115
169	2475	12086
170	2487	12059
171	2500	12036
172	2510	11998
173	2521	11969
174	2532	11939
175	2542	11904
176	2556	11885
177	2568	11861
178	2581	11838
179	2590	11801
180	2603	11781
181	2616	11760
182	2627	11729
183	2639	11703
184	2651	11682
185	2663	11654
186	2673	11623
187	2684	11594
188	2695	11568
189	2706	11537
190	2718	11516
191	2730	11489
192	2740	11458
193	2752	11437
194	2766	11419
195	2777	11394
196	2789	11370
197	2801	11347
198	2814	11327
199	2823	11295
200	2837	11278
201	2849	11255
202	2868	11262
203	2889	11273
204	2900	11249
205	2913	11227
206	2925	11205
207	2934	11174
208	2948	11157
209	2959	11132
210	2969	11105
211	2982	11087
212	2994	11065
213	3008	11049
214	3017	11017
215	3029	10995
216	3039	10968
217	3052	10950
218	3064	10929
219	3077	10912
220	3091	10896
221	3102	10872
222	3118	10864
223	3132	10851
224	3145	10834
225	3157	10813
226	3167	10786
227	3181	10770
228	3192	10748
229	3201	10718
230	3215	10702
231	3227	10683
232	3239	10663
233	3249	10637
234	3264	10627
235	3283	10630
236	3295	10609
237	3307	10589
238	3319	10568
239	3331	10548
240	3345	10536
241	3358	10520
242	3372	10505
243	3391	10506
244	3408	10504
245	3422	10488
246	3433	10465
247	3445	10447
248	3457	10426
249	3469	10407
250	3480	10385
251	3495	10374
252	3507	10355
253	3518	10333
254	3528	10308
255	3540	10289
256	3552	10270
257	3563	10249
258	3576	10231
259	3589	10215
260	3603	10202
261	3613	10178
262	3625	10158
263	3636	10138
264	3646	10114
265	3660	10099
266	3675	10089
267	3691	10081
268	3703	10065
269	3715	10046
270	3725	10023
271	3738	10005
272	3750	9987
273	3760	9963
274	3772	9944
275	3784	9926
276	3794	9903
277	3808	9892
278	3820	9874
279	3833	9857
280	3843	9833
281	3866	9844
282	3877	9824
283	3889	9806
284	3903	9793
285	3915	9775
286	3926	9754
287	3938	9737
288	3950	9719
289	3961	9697
290	3972	9677
291	3984	9662
292	3996	9644
293	4009	9628
294	4023	9615
295	4035	9597
296	4047	9581
297	4057	9558
298	4068	9539
299	4084	9529
300	4098	9517
301	4108	9495
302	4121	9479
303	4133	9463
304	4148	9452
305	4159	9432
306	4170	9414
307	4183	9399
308	4195	9382
309	4206	9362
310	4218	9346
311	4231	9331
312	4245	9317
313	4255	9296
314	4266	9277
315	4279	9262
316	4292	9247
317	4301	9225
318	4316	9214
319	4329	9201
320	4341	9183
321	4351	9163
322	4362	9144
323	4374	9127
324	4385	9109
325	4399	9096
326	4416	9088
327	4430	9076
328	4442	9059
329	4453	9042
330	4466	9027
331	4479	9013
332	4495	9003
333	4509	8991
334	4522	8976
335	4534	8961
336	4548	8948
337	4560	8931
338	4573	8917
339	4584	8899
340	4596	8882
341	4610	8870
342	4624	8857
343	4634	8838
344	4648	8826
345	4661	8810
346	4675	8798
347	4688	8783
348	4699	8765
349	4711	8750
350	4725	8738
351	4738	8723
352	4749	8704
353	4761	8689
354	4774	8675
355	4787	8660
356	4797	8640
357	4809	8625
358	4821	8608
359	4831	8590
360	4861	8604
361	4873	8589
362	4886	8574
363	4897	8557
364	4913	8548
365	4927	8535
366	4940	8521
367	4953	8507
368	4968	8495
369	4979	8477
370	4991	8462
371	5004	8448
372	5016	8432
373	5027	8414
374	5040	8400
375	5052	8385
376	5066	8371
377	5077	8355
378	5089	8339
379	5101	8323
380	5112	8305
381	5124	8289
382	5137	8276
383	5149	8261
384	5163	8248
385	5176	8234
386	5190	8222
387	5205	8211
388	5218	8197
389	5232	8184
390	5243	8167
391	5257	8155
392	5269	8138
393	5283	8126
394	5294	8109
395	5305	8092
396	5318	8077
397	5329	8061
398	5340	8043
399	5351	8027
400	5368	8019
401	5382	8006
402	5394	7991
403	5405	7973
404	5418	7960
405	5431	7946
